,sold_price,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,garage,fireplaces,sqrt_ft,kitchen_features,floor_covering,HOA,zipcode
0,5300000.0,-110.3782,31.356362,2154.0,5272.0,1941,13,10.0,0.0,6.0,10500.0,"Dishwasher, Freezer, Refrigerator, Oven","Mexican Tile, Wood",0.0,85637
1,4200000.0,-111.045371,31.594213,1707.0,10422.36,1997,2,2.0,0.0,5.0,7300.0,"Dishwasher, Garbage Disposal","Natural Stone, Other",0.0,85646
3,4500000.0,-111.035925,31.645878,636.67,8418.58,1930,7,5.0,4.0,4.0,9019.0,"Dishwasher, Double Sink, Pantry: Butler, Refrigerator","Ceramic Tile, Laminate, Wood",-1.0,85646
4,3411450.0,-110.813768,32.285162,3.21,15393.0,1995,4,6.0,3.0,5.0,6396.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Concrete",55.0,85750
5,3250000.0,-110.910593,32.33909,1.67,27802.84,1999,3,4.0,3.0,5.0,6842.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Natural Stone, Wood, Other",422.0,85718
6,2400000.0,-110.883315,32.261069,2.1,19038.42,2001,9,8.0,4.0,6.0,12025.0,"Dishwasher, Garbage Disposal, Oven","Carpet, Natural Stone, Wood, Other",0.0,85712
7,2500000.0,-110.861002,32.331603,1.07,21646.0,2011,6,8.0,4.0,5.0,8921.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",220.0,85750
8,3700000.0,-110.912156,32.343601,6.73,25094.39,2002,5,7.0,3.0,1.0,5238.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood, Other",421.0,85718
9,3250000.0,-110.83795,32.327575,3.53,18936.11,2007,5,6.0,3.0,2.0,6480.0,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: CORIAN, Microwave: Built In, Oven: Built In","Carpet, Concrete",141.67,85750
10,2776518.0,-111.045441,31.562121,147.18,7330.36,1935,5,5.0,5.0,5.0,5067.0,"Freezer, Refrigerator, Appliance Color: Stainless, Countertops: wood and granite, Oven: 2 ovens-Main 1-GH","Concrete, Natural Stone, Wood",-1.0,85640
11,2050000.0,-110.918294,32.341609,1.65,24353.0,2009,5,6.0,3.0,4.0,7230.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",357.0,85718
12,2100000.0,-110.736202,31.721347,29.6,11723.0,1995,6,7.0,3.0,4.0,6454.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Mexican Tile, Natural Stone, Wood",0.0,85637
13,2200000.0,-111.049837,32.483063,1.82,5198.58,2015,4,6.0,3.0,3.0,5826.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Natural Stone,148.0,85658
14,3000000.0,-110.883068,32.508778,0.0,29669.0,2008,3,3.0,0.0,3.0,3095.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Natural Stone, Wood",-1.0,85739
15,2600000.0,-110.883252,32.507699,0.0,18044.0,2008,3,3.0,0.0,3.0,3095.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Natural Stone, Wood",0.0,85739
16,3000000.0,-110.843588,32.327533,3.1,24040.26,2002,3,6.0,3.0,3.0,7756.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Black, Countertops: Granite","Carpet, Natural Stone",142.0,85750
17,2500000.0,-110.942458,32.350702,1.25,19565.2,2010,4,5.0,4.0,5.0,5338.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",173.0,85718
18,2600000.0,-110.883239,32.50904,0.0,17567.18,2008,3,3.0,0.0,3.0,3095.0,"Dishwasher, Refrigerator, Microwave, Oven","Natural Stone, Wood",0.0,85739
19,2800000.0,-110.837572,32.328412,93.0,22320.0,1983,4,5.0,3.0,1.0,6050.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Concrete, Natural Stone, Wood",167.0,85750
20,2600000.0,-110.883065,32.508778,0.0,8753.35,2008,3,3.0,0.0,3.0,3095.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Natural Stone, Wood",0.0,85739
21,2000000.0,-110.848679,32.321134,0.64,11322.0,2001,5,6.0,3.0,5.0,7471.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood, Other",123.0,85750
22,2400000.0,-110.918097,32.337925,3.42,22655.99,2005,4,7.0,4.0,3.0,6356.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",421.0,85718
23,1950000.0,-110.933703,32.304249,13.16,16354.0,1936,7,8.0,2.0,7.0,5645.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven","Carpet, Concrete, Mexican Tile",0.0,85718
24,2400000.0,-110.809735,32.280309,0.64,13519.82,1998,3,4.0,3.0,3.0,4651.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Marble","Carpet, Ceramic Tile, Natural Stone",300.0,85750
